index,amount,price,high,low,open,close,weight,wprice,volume,time
2016-12-31 10:00:00,1.08597433,953.1964816922778,956.45,952.37,953.97,952.76,0.016005811306881567,15.249696780744483,66.52258057,2016-12-31 10:00:00
2016-12-31 11:00:00,0.10467715,952.4774036619909,953.9,950.93,952.77,952.93,0.023243136269078486,22.14908184489296,46.14493441000002,2016-12-31 11:00:00
2016-12-31 12:00:00,0.26893323,951.835807095212,953.74,950.81,951.14,953.22,0.020116319155696036,19.175277745592577,71.14430933000001,2016-12-31 12:00:00
2016-12-31 13:00:00,0.074,953.824540114887,954.72,952.28,953.21,954.25,0.01607944967245032,15.343814849935718,95.33488814999995,2016-12-31 13:00:00
2016-12-31 14:00:00,0.021,953.9164245420626,954.58,952.22,953.99,954.53,0.019948227958375885,19.041182033108534,31.863441519999995,2016-12-31 14:00:00
2016-12-31 15:00:00,0.109,957.4466090573347,958.38,953.63,953.65,956.84,0.011426769733649287,10.933590351944984,176.38113932999997,2016-12-31 15:00:00
2016-12-31 16:00:00,0.013,958.6912742269918,959.39,956.22,956.98,959.38,0.012043761266687592,11.554543684034742,70.12174781000003,2016-12-31 16:00:00
2016-12-31 17:00:00,0.0893138,962.6019181232792,966.37,959.0,959.38,965.6,0.0050888786745731576,4.913821248167841,450.0912670099998,2016-12-31 17:00:00
2016-12-31 18:00:00,0.10642652,962.9190700855052,966.2,962.0,965.6,963.16,0.010937600789568529,10.534659576480824,145.38075684999993,2016-12-31 18:00:00
2016-12-31 19:00:00,0.017,962.0217600834695,963.17,960.24,962.85,961.13,0.01089856288899073,10.47493574949566,111.74653407999999,2016-12-31 19:00:00
2016-12-31 20:00:00,0.2,960.5214124900194,961.8,956.63,960.95,961.4,0.015913195979250488,15.298946614451419,61.7833424,2016-12-31 20:00:00
2016-12-31 21:00:00,1.80872214,963.0073526497277,963.54,960.74,961.68,962.93,0.010239523746211284,9.859944600939231,77.19857877999993,2016-12-31 21:00:00
2016-12-31 22:00:00,0.02627501,963.716961594749,964.18,962.01,962.93,963.58,0.008991317309640355,8.663853533223254,174.94464936999995,2016-12-31 22:00:00
2016-12-31 23:00:00,1.0,964.8986700761103,966.3,963.59,963.59,966.3,0.017155435342867894,16.577297171813246,171.35086564999992,2016-12-31 23:00:00
2017-01-01 00:00:00,0.061,966.314282931044,966.99,964.6,966.34,966.6,0.022326408587701824,21.580706540872583,102.48480571999998,2017-01-01 00:00:00
2017-01-01 01:00:00,4.062304,963.8533301867061,966.6,962.54,966.6,963.87,0.025767118505674494,24.836152514064473,149.02555393000017,2017-01-01 01:00:00
2017-01-01 02:00:00,0.018,964.0788795518843,965.75,961.99,964.35,963.97,0.022208426445366594,21.408256840540037,94.26739590000001,2017-01-01 02:00:00
2017-01-01 03:00:00,0.011,963.2790476161659,964.71,960.53,963.88,962.83,0.020054691514930886,19.309258631320905,77.61966749,2017-01-01 03:00:00
2017-01-01 04:00:00,0.06534371,962.9262484692309,963.64,960.6,960.61,963.46,0.06903509351365843,66.51255119666935,46.810220269999995,2017-01-01 04:00:00
2017-01-01 05:00:00,0.01409466,963.582467604458,964.0,962.8,963.02,964.0,0.056974576801216315,54.92349203637253,53.52625839,2017-01-01 05:00:00
2017-01-01 06:00:00,0.103,964.5864243189371,964.99,963.74,963.74,964.76,0.05198804661640439,50.155987853642294,26.484784389999994,2017-01-01 06:00:00
2017-01-01 07:00:00,1.5786,964.9587791693262,964.98,964.88,964.91,964.96,0.12425339644397185,119.89955743257508,6.35425333,2017-01-01 07:00:00
2017-01-01 08:00:00,0.8,964.9756271725848,964.99,964.96,964.96,964.98,0.07092783506094089,68.44394227710674,30.983204420000007,2017-01-01 08:00:00
2017-01-01 09:00:00,0.12648799,965.0982520044029,965.62,964.98,964.98,965.6,0.05800063345162909,56.00541166089305,49.1976393,2017-01-01 09:00:00
2017-01-01 10:00:00,0.257,970.8934084971339,974.77,965.01,965.01,973.98,0.005396464760033521,5.256048746977449,344.9305768600007,2017-01-01 10:00:00
2017-01-01 11:00:00,1.04085171,974.6975934713462,975.0,970.72,973.98,974.92,0.013212653667997884,12.881280314004497,362.6981146000002,2017-01-01 11:00:00
